vin,county,city,state,postal_code,model_year,make,model,electric_vehicle_type,cafv_eligibility,electric_range,base_msrp,legislative_district,dol_vehicle_id,vehicle_location,electric_utility,census_tract
LREKK5RX2J,Pierce,Fircrest,WA,98466,2018,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,75095,28,117039205,POINT (-122.538546 47.2298959),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072305
WMEFK9BA2J,Clark,Washougal,WA,98671,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,18,254569101,POINT (-122.317523 45.595997),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040513
YV4H600Z7N,Mason,Shelton,WA,98584,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,35,198751752,POINT (-123.0910261 47.2173827),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045961300
KM8K53AG3K,King,Seattle,WA,98199,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,36,258289748,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700
2C4RC1N7XN,Pierce,Edgewood,WA,98372,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,31,224422943,POINT (-122.2766415 47.207268),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073501
1G1RG6E47E,Pierce,Lake Tapps,WA,98391,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,31,230236933,POINT (-122.1580794 47.1747959),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070313
7JRH60FL4N,Clark,Vancouver,WA,98682,2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41,0,18,219210848,POINT (-122.5286031 45.6686601),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040604
WMEFJ9BA3K,King,Renton,WA,98058,2019,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,11,149038669,POINT (-122.1476337 47.4438471),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031909
1G6RP1E40E,Asotin,Clarkston,WA,99403,2014,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,9,326281560,POINT (-117.08094 46.396152),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||PUD NO 1 OF ASOTIN COUNTY,53003960300
5YJXCDE24G,Pierce,Bonney Lake,WA,98391,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,31,266554403,POINT (-122.1580794 47.1747959),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
